accountId,paraId,amount,block_num
1E84jrXpWyREa5rk5NrDAjvikVrKsE6sBLwYWsi27tWidSd,2040,170000000000,10180636
12C1wpzayoiiA41xhX7LJhkoHiNbUdE7n5XoZGiBwZgua7EK,2040,1100000000000,10180338
123W1hyaaKynJbjBP1DPrHtD8LK9DLR2MFjzYoJE891wSVZk,2040,420000000000,10180311
13Kjz8jqZztwzoJ4rya3hJgjehjqNjG8esgayPdUjbcGXvBc,2040,300000000000,10180227
13g3JrG4aU5ZjvHHLG3FAVceLVvP9yeWEhWQ2jYZYyMxGxAZ,2040,260000000000,10180208
14obQByDDPgSQywYUUEGo72uDACbdMCx3MKCKRy7rjEtweri,2040,400000000000,10180008
1pD9guB3KuGLULSxaQohBBhYRrpzqEvf22PGWzMCDNRSpde,2040,50000000000,10179949
15MhSfq2QmptbWgnLdATo9tRHva8j2gwtub1f6wUacdCs4fT,2040,100000000000,10179734
158uvkDyBS2f9QZKq5RzDEAyBsHKocdPPwuwz4Gy7cUz4Wr9,2040,1000000000000,10179509
15814pbUc7E7oZ7AChzqK2xZzqT2qz3mqbeJUKXH9R9Lihcu,2040,7032000000000,10179438
15vxWorcPfZC1CEKARJgkej9cxBBmt3JduCq4ZYTkatf7uwM,2040,360000000000,10179412
164oVTQLLzAKr9VwqPzgPyZF4NfEbXi1ddMy6e7MdRmZuQnw,2040,150000000000,10179398
12x85WyFba3yGHydKt4YsVWZYnrhjrrZtKcjfm9a3mFA1sLG,2040,520000000000,10179287
13GfSo4aRMXVd86kiaWHRutLHHRgjApdK1HvEaiip3gzAhuM,2040,50000000000,10179217
1653bYZHfiFckZe8rW7FdytyA5nxDW73tb5NnfLxMYXB187L,2040,50000000000,10179149
16MQU44cWK66bkd6oe7V7SXHeA6TfiKDwuBMH4QgWsWeHWrT,2040,51000000000,10179079
15QUMu6aNhp1UPX8NGyQCEsBjhQtMF4qm3tnvfKGaTM8SCjY,2040,3600000000000,10178933
1564yLGBb31atL1DZiYzBdiBHxac9pzfC9xYXaehB9wpnrQ6,2040,380000000000,10178920
14BsFXW6As47LnfB9AuTye6TYJck1JosyNCfwSYSoX5wcRTf,2040,965000000000,10178914
145VDiSQVWVMXTZCFyRUVgkrGNTJbZ2qruS4GVhnMRXpevGQ,2040,52000000000,10178883
15JKkWpk2Pz29eJCFYY1tjuGS3WA1fQaBEnUx4pd8XhVZToD,2040,10000000000000,10178774
12VqafmRF33wzCSf9ZH1tyTYi5KLRXBXBtmX7Pn8RCXu69VG,2040,510900000000,10178752
14mpk6w7bRw1G1Pg7NoMsLaZ99cihJNCL6rmaz3Q8JH7Pcoo,2040,1780000000000,10178703
14oc68k1fMBignjzfXxAvAGi45QpZDh46oJW99B5uUsFjmjN,2040,330000000000,10178680
1yKwyqWHfXmo5hqDErrqk1HbwSBkRpnLbyghGBihKUtNwqF,2040,50000000000,10178632
13BJTQ7hzCjgVzUMXxffWR7ceKQMcAaeDAE1xM8Mt4HdMNKU,2040,100000000000,10178481
15Mtd4CJKV6LdZFthayGeRPLgdLkCQnT3qYuoDdsTXmDTtms,2040,2000000000000,10178469
15SP7uXBmarKKdHPzPfupVcBT4Wvj93zFNShrFYPsBqsa6iY,2040,100000000000,10178420
14QPqyefE2SMfrERDxqUCbpb7cAdDot278sqX4S1B96iFK39,2040,50000000000,10178396
15KQaskxNYkocktUBNZNf8aeURLxEPG3iMmGZC8vczXCvioF,2040,150000000000,10178388
14Emma4wVeGbsMDeRePSDznZYCBnTxRCK1Q1mW3y7Eb7Utuz,2040,500000000000,10178310
16K4pnAjuQtAnTEdaJE5hn8rAKBZfPMCAT3JBftBxtX8kkqt,2040,50000000000,10178246
14kmP3jsj4uXMef212uFBBNKivwpwQheg39VZ3wnDhUR8Z6M,2040,300000000000,10178233
15VCFXvr8B5fYg9EbXbiWQ4RUWPdKLBfeSv44V22GYQHgHAL,2040,50000000000,10178059
